E,ft,Gf,softening,p,b,lch,a0,eta0,sigma0,beta,R_p,S_soft,f_b,beta_eff,Pmax,sigma_N,crack_half_width,Gf_eff,process_zone,ft_over_E,Gf_over_E,lch_over_b,sigma_N_over_ft,b_over_lch,softening_code
20000,2.0,0.08,linear,1.0,1.0,400.0,254.64790894703256,15.957691216057308,31.915382432114615,4.0,1.0,1.0,1.0034429516557408,3.9862754463517445,4478.286426755475,0.4478286426755475,1.377180662296321,0.08,400.0,0.0001,4e-06,400.0,0.22391432133777375,0.0025,0
20000,2.0,0.08,linear,1.0,2.0,400.0,127.32395447351628,15.957691216057308,31.915382432114615,4.0,1.0,1.0,1.0068859033114816,3.972644752344491,4484.420021756436,0.44844200217564356,2.754361324592642,0.08,400.0,0.0001,4e-06,200.0,0.22422100108782178,0.005,0
20000,2.0,0.08,linear,1.5,1.0,400.0,381.9718634205488,15.957691216057308,31.915382432114615,4.0,0.75,1.0,1.003433452321878,5.31508424499139,3979.3343036144224,0.39793343036144224,1.3733809287511478,0.08,400.0,0.0001,4e-06,400.0,0.19896671518072112,0.0025,0
20000,2.0,0.08,linear,1.5,2.0,400.0,190.9859317102744,15.957691216057308,31.915382432114615,4.0,0.75,1.0,1.0068669046437557,5.296959616743332,3985.05707579497,0.398505707579497,2.7467618575022956,0.08,400.0,0.0001,4e-06,200.0,0.1992528537897485,0.005,0
20000,2.0,0.08,linear,2.0,1.0,400.0,509.2958178940651,15.957691216057308,31.915382432114615,4.0,0.6,1.0,1.0034271623719684,6.643896953026021,3616.950690727894,0.3616950690727894,1.3708649487873947,0.08,400.0,0.0001,4e-06,400.0,0.1808475345363947,0.0025,0
20000,2.0,0.08,linear,2.0,2.0,400.0,254.64790894703256,15.957691216057308,31.915382432114615,4.0,0.6,1.0,1.006854324743937,6.62128224791817,3622.3130222714267,0.36223130222714267,2.7417298975747895,0.08,400.0,0.0001,4e-06,200.0,0.18111565111357134,0.005,0
20000,2.0,0.08,exponential,1.0,1.0,400.0,254.64790894703256,15.957691216057308,31.915382432114615,4.0,1.0,0.9960049926738792,1.0034429516557408,4.002264522439965,4471.123573648179,0.44711235736481797,1.377180662296321,0.07968039941391034,398.40199706955167,0.0001,4e-06,400.0,0.22355617868240898,0.0025,1
20000,2.0,0.08,exponential,1.0,2.0,400.0,127.32395447351628,15.957691216057308,31.915382432114615,4.0,1.0,0.9960049926738792,1.0068859033114816,3.9885791552906893,4477.252278606573,0.44772522786065727,2.754361324592642,0.07968039941391034,398.40199706955167,0.0001,4e-06,200.0,0.22386261393032864,0.005,1
20000,2.0,0.08,exponential,1.5,1.0,400.0,381.9718634205488,15.957691216057308,31.915382432114615,4.0,0.75,1.2443201672289614,1.003433452321878,4.271476413363786,4355.458361136928,0.4355458361136928,1.3733809287511478,0.09954561337831691,497.7280668915846,0.0001,4e-06,400.0,0.2177729180568464,0.0025,1
20000,2.0,0.08,exponential,1.5,2.0,400.0,190.9859317102744,15.957691216057308,31.915382432114615,4.0,0.75,1.2443201672289614,1.0068669046437557,4.256910525318732,4361.488255840337,0.4361488255840337,2.7467618575022956,0.09954561337831691,497.7280668915846,0.0001,4e-06,200.0,0.21807441279201684,0.005,1
