E,ft,Gf,softening,p,b,lch,a0,eta0,beta,Pmax,sigma_N,crack_half_width,ft_over_E,Gf_over_E,lch_over_b
20000,2.0,0.08,linear,1.0,1.0,400.0,254.64790894703256,15.957691216057308,4.0,4472.13595499958,0.4472135954999579,1.3771806666517628,0.0001,4e-06,400.0
20000,2.0,0.08,linear,1.0,2.0,400.0,127.32395447351628,15.957691216057308,4.0,4472.13595499958,0.4472135954999579,2.7543613333035255,0.0001,4e-06,200.0
20000,2.0,0.08,linear,1.5,1.0,400.0,381.9718634205488,15.957691216057308,4.0,4472.13595499958,0.4472135954999579,1.3733809331065583,0.0001,4e-06,400.0
20000,2.0,0.08,linear,1.5,2.0,400.0,190.9859317102744,15.957691216057308,4.0,4472.13595499958,0.4472135954999579,2.7467618662131166,0.0001,4e-06,200.0
20000,2.0,0.08,linear,2.0,1.0,400.0,509.2958178940651,15.957691216057308,4.0,4472.13595499958,0.4472135954999579,1.3708649531427763,0.0001,4e-06,400.0
20000,2.0,0.08,linear,2.0,2.0,400.0,254.64790894703256,15.957691216057308,4.0,4472.13595499958,0.4472135954999579,2.7417299062855527,0.0001,4e-06,200.0
20000,2.0,0.08,exponential,1.0,1.0,400.0,254.64790894703256,15.957691216057308,4.0,4472.13595499958,0.4472135954999579,1.3771806666517628,0.0001,4e-06,400.0
20000,2.0,0.08,exponential,1.0,2.0,400.0,127.32395447351628,15.957691216057308,4.0,4472.13595499958,0.4472135954999579,2.7543613333035255,0.0001,4e-06,200.0
20000,2.0,0.08,exponential,1.5,1.0,400.0,381.9718634205488,15.957691216057308,4.0,4472.13595499958,0.4472135954999579,1.3733809331065583,0.0001,4e-06,400.0
20000,2.0,0.08,exponential,1.5,2.0,400.0,190.9859317102744,15.957691216057308,4.0,4472.13595499958,0.4472135954999579,2.7467618662131166,0.0001,4e-06,200.0
20000,2.0,0.08,exponential,2.0,1.0,400.0,509.2958178940651,15.957691216057308,4.0,4472.13595499958,0.4472135954999579,1.3708649531427763,0.0001,4e-06,400.0
20000,2.0,0.08,exponential,2.0,2.0,400.0,254.64790894703256,15.957691216057308,4.0,4472.13595499958,0.4472135954999579,2.7417299062855527,0.0001,4e-06,200.0
20000,2.0,0.08,cornelissen,1.0,1.0,400.0,254.64790894703256,15.957691216057308,4.0,4472.13595499958,0.4472135954999579,1.3771806666517628,0.0001,4e-06,400.0
20000,2.0,0.08,cornelissen,1.0,2.0,400.0,127.32395447351628,15.957691216057308,4.0,4472.13595499958,0.4472135954999579,2.7543613333035255,0.0001,4e-06,200.0
20000,2.0,0.08,cornelissen,1.5,1.0,400.0,381.9718634205488,15.957691216057308,4.0,4472.13595499958,0.4472135954999579,1.3733809331065583,0.0001,4e-06,400.0
20000,2.0,0.08,cornelissen,1.5,2.0,400.0,190.9859317102744,15.957691216057308,4.0,4472.13595499958,0.4472135954999579,2.7467618662131166,0.0001,4e-06,200.0
20000,2.0,0.08,cornelissen,2.0,1.0,400.0,509.2958178940651,15.957691216057308,4.0,4472.13595499958,0.4472135954999579,1.3708649531427763,0.0001,4e-06,400.0
20000,2.0,0.08,cornelissen,2.0,2.0,400.0,254.64790894703256,15.957691216057308,4.0,4472.13595499958,0.4472135954999579,2.7417299062855527,0.0001,4e-06,200.0
20000,2.0,0.12,linear,1.0,1.0,600.0,381.97186342054886,19.544100476116796,6.0,3779.6447300922723,0.37796447300922725,1.372480562008562,0.0001,6e-06,600.0
20000,2.0,0.12,linear,1.0,2.0,600.0,190.98593171027443,19.544100476116796,6.0,3779.6447300922723,0.37796447300922725,2.744961124017124,0.0001,6e-06,300.0
20000,2.0,0.12,linear,1.5,1.0,600.0,572.9577951308232,19.544100476116796,6.0,3779.6447300922723,0.37796447300922725,1.3694016364500066,0.0001,6e-06,600.0
20000,2.0,0.12,linear,1.5,2.0,600.0,286.4788975654116,19.544100476116796,6.0,3779.6447300922723,0.37796447300922725,2.738803272900013,0.0001,6e-06,300.0
20000,2.0,0.12,linear,2.0,1.0,600.0,763.9437268410977,19.544100476116796,6.0,3779.6447300922723,0.37796447300922725,1.3673620519909806,0.0001,6e-06,600.0
20000,2.0,0.12,linear,2.0,2.0,600.0,381.97186342054886,19.544100476116796,6.0,3779.6447300922723,0.37796447300922725,2.734724103981961,0.0001,6e-06,300.0
